127.0.0.1 - - [07/Jan/2019:14:30:56 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Jan/2019:14:30:58 +0530] "GET /blog_v3/ HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [07/Jan/2019:14:30:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [07/Jan/2019:14:31:08 +0530] "GET /blog_v3/webapi/myresource HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jan/2019:14:31:13 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
10.26.9.180 - - [07/Jan/2019:14:31:50 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
10.26.9.180 - - [07/Jan/2019:14:31:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
10.26.9.180 - - [07/Jan/2019:14:33:04 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 406 1211
10.26.9.180 - - [07/Jan/2019:14:34:51 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 406 1211
10.26.9.180 - - [07/Jan/2019:14:58:03 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
10.26.9.180 - - [07/Jan/2019:14:58:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
10.26.9.180 - - [07/Jan/2019:15:02:54 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [07/Jan/2019:15:08:27 +0530] "GET /restuserdemo/webapi/users HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [07/Jan/2019:15:09:14 +0530] "GET /restuserdemo/webapi/users HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [07/Jan/2019:15:11:25 +0530] "GET /restuserdemo/webapi/users HTTP/1.1" 404 1107
10.26.9.180 - - [07/Jan/2019:15:15:04 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
10.26.9.180 - - [07/Jan/2019:15:26:07 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [07/Jan/2019:15:28:40 +0530] "GET /restuserdemo/webapi/users HTTP/1.1" 404 1107
10.26.9.180 - - [07/Jan/2019:15:36:52 +0530] "GET /blog_v3/webapi/users HTTP/1.1" 200 1367
